mapa_1_resultados.xlsx,18,AL2021,010127,AF,[A],coalition,PPD/PSD.MPT,JUNTOS POR ÁGUEDA,198
mapa_1_resultados.xlsx,19,AL2021,010200,CM,B.E.,party,B.E.,,179
mapa_1_resultados.xlsx,19,AL2021,010200,CM,CDS-PP,party,CDS-PP,,7971
mapa_1_resultados.xlsx,19,AL2021,010200,CM,CH,party,CH,,250
mapa_1_resultados.xlsx,19,AL2021,010200,CM,PPD/PSD,party,PPD/PSD,,3238
mapa_1_resultados.xlsx,19,AL2021,010200,CM,PS,party,PS,,910
mapa_1_resultados.xlsx,19,AL2021,010200,CM,PCP-PEV,coalition,PCP-PEV,,211
mapa_1_resultados.xlsx,20,AL2021,010200,AM,B.E.,party,B.E.,,258
mapa_1_resultados.xlsx,20,AL2021,010200,AM,CDS-PP,party,CDS-PP,,7110
mapa_1_resultados.xlsx,20,AL2021,010200,AM,PPD/PSD,party,PPD/PSD,,4217
mapa_1_resultados.xlsx,20,AL2021,010200,AM,PS,party,PS,,982
mapa_1_resultados.xlsx,20,AL2021,010200,AM,PCP-PEV,coalition,PCP-PEV,,227
mapa_1_resultados.xlsx,21,AL2021,010202,AF,CDS-PP,party,CDS-PP,,736
mapa_1_resultados.xlsx,21,AL2021,010202,AF,PPD/PSD,party,PPD/PSD,,604
mapa_1_resultados.xlsx,22,AL2021,010203,AF,CDS-PP,party,CDS-PP,,269
mapa_1_resultados.xlsx,22,AL2021,010203,AF,PPD/PSD,party,PPD/PSD,,639
mapa_1_resultados.xlsx,22,AL2021,010203,AF,PS,party,PS,,169
mapa_1_resultados.xlsx,22,AL2021,010203,AF,PCP-PEV,coalition,PCP-PEV,,51
mapa_1_resultados.xlsx,23,AL2021,010204,AF,CDS-PP,party,CDS-PP,,2353
mapa_1_resultados.xlsx,23,AL2021,010204,AF,PPD/PSD,party,PPD/PSD,,497
mapa_1_resultados.xlsx,23,AL2021,010204,AF,PS,party,PS,,125
mapa_1_resultados.xlsx,23,AL2021,010204,AF,PCP-PEV,coalition,PCP-PEV,,49
mapa_1_resultados.xlsx,24,AL2021,010206,AF,CDS-PP,party,CDS-PP,,802
mapa_1_resultados.xlsx,24,AL2021,010206,AF,PPD/PSD,party,PPD/PSD,,107
mapa_1_resultados.xlsx,24,AL2021,010206,AF,PCP-PEV,coalition,PCP-PEV,,20
mapa_1_resultados.xlsx,25,AL2021,010209,AF,B.E.,party,B.E.,,114
mapa_1_resultados.xlsx,25,AL2021,010209,AF,CDS-PP,party,CDS-PP,,2561
mapa_1_resultados.xlsx,25,AL2021,010209,AF,PPD/PSD,party,PPD/PSD,,1685
mapa_1_resultados.xlsx,25,AL2021,010209,AF,PS,party,PS,,304
mapa_1_resultados.xlsx,25,AL2021,010209,AF,PCP-PEV,coalition,PCP-PEV,,112
mapa_1_resultados.xlsx,26,AL2021,010210,AF,CDS-PP,party,CDS-PP,,838
mapa_1_resultados.xlsx,26,AL2021,010210,AF,PPD/PSD,party,PPD/PSD,,634
mapa_1_resultados.xlsx,26,AL2021,010210,AF,PS,party,PS,,150
mapa_1_resultados.xlsx,27,AL2021,010300,CM,CH,party,CH,,332
mapa_1_resultados.xlsx,27,AL2021,010300,CM,IL,party,IL,,235
mapa_1_resultados.xlsx,27,AL2021,010300,CM,PPD/PSD,party,PPD/PSD,,3734
mapa_1_resultados.xlsx,27,AL2021,010300,CM,PS,party,PS,,1826
mapa_1_resultados.xlsx,27,AL2021,010300,CM,PCP-PEV,coalition,PCP-PEV,,730
mapa_1_resultados.xlsx,27,AL2021,010300,CM,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,6231
mapa_1_resultados.xlsx,28,AL2021,010300,AM,IL,party,IL,,398
mapa_1_resultados.xlsx,28,AL2021,010300,AM,PPD/PSD,party,PPD/PSD,,3975
mapa_1_resultados.xlsx,28,AL2021,010300,AM,PS,party,PS,,1956
mapa_1_resultados.xlsx,28,AL2021,010300,AM,PCP-PEV,coalition,PCP-PEV,,815
mapa_1_resultados.xlsx,28,AL2021,010300,AM,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,5806
mapa_1_resultados.xlsx,29,AL2021,010304,AF,PS,party,PS,,61
mapa_1_resultados.xlsx,29,AL2021,010304,AF,PCP-PEV,coalition,PCP-PEV,,35
mapa_1_resultados.xlsx,29,AL2021,010304,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,157
mapa_1_resultados.xlsx,29,AL2021,010304,AF,[E],citizen_group,+ PNT,+ PNT - Mais Pela Nossa Terra,341
