mapa_2_perc_mandatos.xlsx,17,AL2021,010125,AF,PS,party,PS,,11.34,1
mapa_2_perc_mandatos.xlsx,17,AL2021,010125,AF,PCP-PEV,coalition,PCP-PEV,,0.9,0
mapa_2_perc_mandatos.xlsx,17,AL2021,010125,AF,[A],coalition,PPD/PSD.MPT,JUNTOS POR ÁGUEDA,67.239999999999995,7
mapa_2_perc_mandatos.xlsx,18,AL2021,010126,AF,CDS-PP,party,CDS-PP,,64.28,7
mapa_2_perc_mandatos.xlsx,18,AL2021,010126,AF,PS,party,PS,,15.23,1
mapa_2_perc_mandatos.xlsx,18,AL2021,010126,AF,PCP-PEV,coalition,PCP-PEV,,4.37,0
mapa_2_perc_mandatos.xlsx,18,AL2021,010126,AF,[A],coalition,PPD/PSD.MPT,JUNTOS POR ÁGUEDA,16.12,1
mapa_2_perc_mandatos.xlsx,19,AL2021,010127,AF,CDS-PP,party,CDS-PP,,62.99,5
mapa_2_perc_mandatos.xlsx,19,AL2021,010127,AF,[A],coalition,PPD/PSD.MPT,JUNTOS POR ÁGUEDA,37.01,2
mapa_2_perc_mandatos.xlsx,20,AL2021,010200,CM,B.E.,party,B.E.,,1.4,0
mapa_2_perc_mandatos.xlsx,20,AL2021,010200,CM,CDS-PP,party,CDS-PP,,62.47,5
mapa_2_perc_mandatos.xlsx,20,AL2021,010200,CM,CH,party,CH,,1.96,0
mapa_2_perc_mandatos.xlsx,20,AL2021,010200,CM,PPD/PSD,party,PPD/PSD,,25.38,2
mapa_2_perc_mandatos.xlsx,20,AL2021,010200,CM,PS,party,PS,,7.13,0
mapa_2_perc_mandatos.xlsx,20,AL2021,010200,CM,PCP-PEV,coalition,PCP-PEV,,1.65,0
mapa_2_perc_mandatos.xlsx,21,AL2021,010200,AM,B.E.,party,B.E.,,2.02,0
mapa_2_perc_mandatos.xlsx,21,AL2021,010200,AM,CDS-PP,party,CDS-PP,,55.57,13
mapa_2_perc_mandatos.xlsx,21,AL2021,010200,AM,PPD/PSD,party,PPD/PSD,,32.96,7
mapa_2_perc_mandatos.xlsx,21,AL2021,010200,AM,PS,party,PS,,7.68,1
mapa_2_perc_mandatos.xlsx,21,AL2021,010200,AM,PCP-PEV,coalition,PCP-PEV,,1.77,0
mapa_2_perc_mandatos.xlsx,22,AL2021,010202,AF,CDS-PP,party,CDS-PP,,54.93,5
mapa_2_perc_mandatos.xlsx,22,AL2021,010202,AF,PPD/PSD,party,PPD/PSD,,45.07,4
mapa_2_perc_mandatos.xlsx,23,AL2021,010203,AF,CDS-PP,party,CDS-PP,,23.85,2
mapa_2_perc_mandatos.xlsx,23,AL2021,010203,AF,PPD/PSD,party,PPD/PSD,,56.65,6
mapa_2_perc_mandatos.xlsx,23,AL2021,010203,AF,PS,party,PS,,14.98,1
mapa_2_perc_mandatos.xlsx,23,AL2021,010203,AF,PCP-PEV,coalition,PCP-PEV,,4.5199999999999996,0
mapa_2_perc_mandatos.xlsx,24,AL2021,010204,AF,CDS-PP,party,CDS-PP,,77.81,8
mapa_2_perc_mandatos.xlsx,24,AL2021,010204,AF,PPD/PSD,party,PPD/PSD,,16.440000000000001,1
mapa_2_perc_mandatos.xlsx,24,AL2021,010204,AF,PS,party,PS,,4.13,0
mapa_2_perc_mandatos.xlsx,24,AL2021,010204,AF,PCP-PEV,coalition,PCP-PEV,,1.62,0
mapa_2_perc_mandatos.xlsx,25,AL2021,010206,AF,CDS-PP,party,CDS-PP,,86.33,8
mapa_2_perc_mandatos.xlsx,25,AL2021,010206,AF,PPD/PSD,party,PPD/PSD,,11.52,1
mapa_2_perc_mandatos.xlsx,25,AL2021,010206,AF,PCP-PEV,coalition,PCP-PEV,,2.15,0
mapa_2_perc_mandatos.xlsx,26,AL2021,010209,AF,B.E.,party,B.E.,,2.39,0
mapa_2_perc_mandatos.xlsx,26,AL2021,010209,AF,CDS-PP,party,CDS-PP,,53.62,8
mapa_2_perc_mandatos.xlsx,26,AL2021,010209,AF,PPD/PSD,party,PPD/PSD,,35.28,5
mapa_2_perc_mandatos.xlsx,26,AL2021,010209,AF,PS,party,PS,,6.37,0
mapa_2_perc_mandatos.xlsx,26,AL2021,010209,AF,PCP-PEV,coalition,PCP-PEV,,2.35,0
mapa_2_perc_mandatos.xlsx,27,AL2021,010210,AF,CDS-PP,party,CDS-PP,,51.66,5
mapa_2_perc_mandatos.xlsx,27,AL2021,010210,AF,PPD/PSD,party,PPD/PSD,,39.090000000000003,4
mapa_2_perc_mandatos.xlsx,27,AL2021,010210,AF,PS,party,PS,,9.25,0
mapa_2_perc_mandatos.xlsx,28,AL2021,010300,CM,CH,party,CH,,2.54,0
mapa_2_perc_mandatos.xlsx,28,AL2021,010300,CM,IL,party,IL,,1.8,0
mapa_2_perc_mandatos.xlsx,28,AL2021,010300,CM,PPD/PSD,party,PPD/PSD,,28.53,2
mapa_2_perc_mandatos.xlsx,28,AL2021,010300,CM,PS,party,PS,,13.95,1
mapa_2_perc_mandatos.xlsx,28,AL2021,010300,CM,PCP-PEV,coalition,PCP-PEV,,5.58,0
mapa_2_perc_mandatos.xlsx,28,AL2021,010300,CM,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,47.61,4
mapa_2_perc_mandatos.xlsx,29,AL2021,010300,AM,IL,party,IL,,3.07,0
mapa_2_perc_mandatos.xlsx,29,AL2021,010300,AM,PPD/PSD,party,PPD/PSD,,30.69,7
mapa_2_perc_mandatos.xlsx,29,AL2021,010300,AM,PS,party,PS,,15.1,3
mapa_2_perc_mandatos.xlsx,29,AL2021,010300,AM,PCP-PEV,coalition,PCP-PEV,,6.29,1
mapa_2_perc_mandatos.xlsx,29,AL2021,010300,AM,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,44.83,10
mapa_2_perc_mandatos.xlsx,30,AL2021,010304,AF,PS,party,PS,,10.27,1
mapa_2_perc_mandatos.xlsx,30,AL2021,010304,AF,PCP-PEV,coalition,PCP-PEV,,5.89,0
mapa_2_perc_mandatos.xlsx,30,AL2021,010304,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,26.43,2
mapa_2_perc_mandatos.xlsx,30,AL2021,010304,AF,[E],citizen_group,+ PNT,+ PNT - Mais Pela Nossa Terra,57.41,6
mapa_2_perc_mandatos.xlsx,31,AL2021,010305,AF,PPD/PSD,party,PPD/PSD,,27.68,2
mapa_2_perc_mandatos.xlsx,31,AL2021,010305,AF,PS,party,PS,,6.06,0
mapa_2_perc_mandatos.xlsx,31,AL2021,010305,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,66.260000000000005,7
mapa_2_perc_mandatos.xlsx,32,AL2021,010307,AF,PPD/PSD,party,PPD/PSD,,42.57,5
mapa_2_perc_mandatos.xlsx,32,AL2021,010307,AF,PS,party,PS,,8.43,0
mapa_2_perc_mandatos.xlsx,32,AL2021,010307,AF,PCP-PEV,coalition,PCP-PEV,,2.95,0
mapa_2_perc_mandatos.xlsx,32,AL2021,010307,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,29.54,3
mapa_2_perc_mandatos.xlsx,32,AL2021,010307,AF,[E],citizen_group,MIMO,Movimento Independente pela Moita,16.510000000000002,1
mapa_2_perc_mandatos.xlsx,33,AL2021,010309,AF,IL,party,IL,,4.26,0
mapa_2_perc_mandatos.xlsx,33,AL2021,010309,AF,PPD/PSD,party,PPD/PSD,,36.200000000000003,4
mapa_2_perc_mandatos.xlsx,33,AL2021,010309,AF,PS,party,PS,,14.27,0
mapa_2_perc_mandatos.xlsx,33,AL2021,010309,AF,PCP-PEV,coalition,PCP-PEV,,20.75,2
mapa_2_perc_mandatos.xlsx,33,AL2021,010309,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,24.52,2
mapa_2_perc_mandatos.xlsx,34,AL2021,010310,AF,PPD/PSD,party,PPD/PSD,,26.42,2
mapa_2_perc_mandatos.xlsx,34,AL2021,010310,AF,PS,party,PS,,15.49,0
mapa_2_perc_mandatos.xlsx,34,AL2021,010310,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,58.1,6
mapa_2_perc_mandatos.xlsx,35,AL2021,010312,AF,PPD/PSD,party,PPD/PSD,,47.57,4
mapa_2_perc_mandatos.xlsx,35,AL2021,010312,AF,PS,party,PS,,21.12,0
mapa_2_perc_mandatos.xlsx,35,AL2021,010312,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,31.31,3
mapa_2_perc_mandatos.xlsx,36,AL2021,010313,AF,PPD/PSD,party,PPD/PSD,,25.56,2
mapa_2_perc_mandatos.xlsx,36,AL2021,010313,AF,PS,party,PS,,11.25,1
