mapa_1_resultados.xlsx,49,AL2021,010417,AROUCA,SÃO MIGUEL DO MATO,AF,608,471,7,11
mapa_1_resultados.xlsx,50,AL2021,010418,AROUCA,TROPEÇO,AF,1037,741,15,11
mapa_1_resultados.xlsx,51,AL2021,010419,AROUCA,URRÔ,AF,866,620,17,18
mapa_1_resultados.xlsx,52,AL2021,010420,AROUCA,VÁRZEA,AF,455,345,10,3
mapa_1_resultados.xlsx,53,AL2021,010421,AROUCA,UNIÃO DAS FREGUESIAS DE AROUCA E BURGO,AF,4760,2820,75,44
mapa_1_resultados.xlsx,54,AL2021,010422,AROUCA,UNIÃO DAS FREGUESIAS DE CABREIROS E ALBERGARIA DA SERRA,AF,257,163,4,3
mapa_1_resultados.xlsx,55,AL2021,010423,AROUCA,UNIÃO DAS FREGUESIAS DE CANELAS E ESPIUNCA,AF,984,792,4,10
mapa_1_resultados.xlsx,56,AL2021,010424,AROUCA,UNIÃO DAS FREGUESIAS DE COVELO DE PAIVÓ E JANARDE,AF,189,116,15,3
mapa_1_resultados.xlsx,57,AL2021,010500,AVEIRO,,CM,70534,34238,1235,594
mapa_1_resultados.xlsx,58,AL2021,010500,AVEIRO,,AM,70541,34237,1307,603
mapa_1_resultados.xlsx,59,AL2021,010501,AVEIRO,ARADAS,AF,8433,3978,183,88
mapa_1_resultados.xlsx,60,AL2021,010502,AVEIRO,CACIA,AF,6137,3080,124,70
mapa_1_resultados.xlsx,61,AL2021,010505,AVEIRO,ESGUEIRA,AF,11893,5253,212,82
mapa_1_resultados.xlsx,62,AL2021,010508,AVEIRO,OLIVEIRINHA,AF,4174,2058,93,67
mapa_1_resultados.xlsx,63,AL2021,010510,AVEIRO,SÃO BERNARDO,AF,4559,2464,125,58
mapa_1_resultados.xlsx,64,AL2021,010511,AVEIRO,SÃO JACINTO,AF,851,567,9,4
mapa_1_resultados.xlsx,65,AL2021,010513,AVEIRO,SANTA JOANA,AF,7182,3356,142,81
mapa_1_resultados.xlsx,66,AL2021,010515,AVEIRO,EIXO E EIROL,AF,5503,2709,101,63
mapa_1_resultados.xlsx,67,AL2021,010516,AVEIRO,"REQUEIXO, NOSSA SENHORA DE FÁTIMA E NARIZ",AF,3987,2078,86,59
