mapa_anexo.xlsx,35,AL2021,010414,Arouca,Moldes,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,35,AL2021,010414,Arouca,Moldes,AF,[D],citizen_group,M,Mudança
mapa_anexo.xlsx,36,AL2021,010415,Arouca,Rossas,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,36,AL2021,010415,Arouca,Rossas,AF,[D],citizen_group,UNIR,União Independente por Rossas
mapa_anexo.xlsx,37,AL2021,010416,Arouca,Santa Eulália,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,38,AL2021,010417,Arouca,São Miguel do Mato,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,39,AL2021,010418,Arouca,Tropeço,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,40,AL2021,010419,Arouca,Urrô,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,41,AL2021,010420,Arouca,Várzea,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,42,AL2021,010421,Arouca,União das freguesias de Arouca e Burgo,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,43,AL2021,010422,Arouca,União das freguesias de Cabreiros e Albergaria da Serra,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,44,AL2021,010423,Arouca,União das freguesias de Canelas e Espiunca,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,44,AL2021,010423,Arouca,União das freguesias de Canelas e Espiunca,AF,[D],citizen_group,JPU,Juntos pela União
mapa_anexo.xlsx,45,AL2021,010424,Arouca,União das freguesias de Covelo de Paivó e Janarde,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES
mapa_anexo.xlsx,46,AL2021,010500,Aveiro,,CM,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,46,AL2021,010500,Aveiro,,CM,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,47,AL2021,010500,Aveiro,,AM,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,47,AL2021,010500,Aveiro,,AM,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,48,AL2021,010501,Aveiro,Aradas,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,48,AL2021,010501,Aveiro,Aradas,AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,48,AL2021,010501,Aveiro,Aradas,AF,[D],citizen_group,SA,Sentir Aradas
mapa_anexo.xlsx,49,AL2021,010502,Aveiro,Cacia,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,49,AL2021,010502,Aveiro,Cacia,AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,50,AL2021,010505,Aveiro,Esgueira,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,50,AL2021,010505,Aveiro,Esgueira,AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,51,AL2021,010508,Aveiro,Oliveirinha,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,51,AL2021,010508,Aveiro,Oliveirinha,AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,52,AL2021,010510,Aveiro,São Bernardo,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,52,AL2021,010510,Aveiro,São Bernardo,AF,[D],citizen_group,SB MM,São Bernardo Mais e Melhor
mapa_anexo.xlsx,53,AL2021,010511,Aveiro,São Jacinto,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,53,AL2021,010511,Aveiro,São Jacinto,AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,54,AL2021,010513,Aveiro,Santa Joana,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,54,AL2021,010513,Aveiro,Santa Joana,AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,55,AL2021,010515,Aveiro,Eixo e Eirol,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,55,AL2021,010515,Aveiro,Eixo e Eirol,AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,56,AL2021,010516,Aveiro,"Requeixo, Nossa Senhora de Fátima e Nariz",AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,56,AL2021,010516,Aveiro,"Requeixo, Nossa Senhora de Fátima e Nariz",AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,57,AL2021,010517,Aveiro,União das freguesias de Glória e Vera Cruz,AF,[A],coalition,PPD/PSD.CDS-PP.PPM,ALIANÇA COM AVEIRO
mapa_anexo.xlsx,57,AL2021,010517,Aveiro,União das freguesias de Glória e Vera Cruz,AF,[B],coalition,PS-PAN,VIVA AVEIRO
mapa_anexo.xlsx,58,AL2021,010600,Castelo de Paiva,,CM,[D],citizen_group,MPM,Mudar para Melhor
mapa_anexo.xlsx,58,AL2021,010600,Castelo de Paiva,,CM,[E],citizen_group,UCPT,Um Concelho para Todos
mapa_anexo.xlsx,59,AL2021,010600,Castelo de Paiva,,AM,[D],citizen_group,MPM,Mudar para Melhor
mapa_anexo.xlsx,59,AL2021,010600,Castelo de Paiva,,AM,[E],citizen_group,UCPT,Um Concelho para Todos
mapa_anexo.xlsx,60,AL2021,010602,Castelo de Paiva,Fornos,AF,[D],citizen_group,MPM,Mudar para Melhor
mapa_anexo.xlsx,60,AL2021,010602,Castelo de Paiva,Fornos,AF,[E],citizen_group,UCPT,Um Concelho para Todos
mapa_anexo.xlsx,61,AL2021,010606,Castelo de Paiva,Real,AF,[D],citizen_group,MPM,Mudar para Melhor
mapa_anexo.xlsx,61,AL2021,010606,Castelo de Paiva,Real,AF,[E],citizen_group,UCPT,Um Concelho para Todos
mapa_anexo.xlsx,62,AL2021,010607,Castelo de Paiva,Santa Maria de Sardoura,AF,[D],citizen_group,MPM,Mudar para Melhor
mapa_anexo.xlsx,62,AL2021,010607,Castelo de Paiva,Santa Maria de Sardoura,AF,[E],citizen_group,UCPT,Um Concelho para Todos
mapa_anexo.xlsx,63,AL2021,010608,Castelo de Paiva,São Martinho de Sardoura,AF,[D],citizen_group,MPM,Mudar para Melhor
mapa_anexo.xlsx,63,AL2021,010608,Castelo de Paiva,São Martinho de Sardoura,AF,[E],citizen_group,UCPT,Um Concelho para Todos
mapa_anexo.xlsx,64,AL2021,010610,Castelo de Paiva,"União das freguesias de Raiva, Pedorido e Paraíso",AF,[D],citizen_group,MPM,Mudar para Melhor
mapa_anexo.xlsx,64,AL2021,010610,Castelo de Paiva,"União das freguesias de Raiva, Pedorido e Paraíso",AF,[E],citizen_group,UCPT,Um Concelho para Todos
mapa_anexo.xlsx,65,AL2021,010611,Castelo de Paiva,União das freguesias de Sobrado e Bairros,AF,[D],citizen_group,MPM,Mudar para Melhor
mapa_anexo.xlsx,65,AL2021,010611,Castelo de Paiva,União das freguesias de Sobrado e Bairros,AF,[E],citizen_group,UCPT,Um Concelho para Todos
mapa_anexo.xlsx,66,AL2021,010704,Espinho,Paramos,AF,[D],citizen_group,IP,Independentes de Paramos - IP
mapa_anexo.xlsx,67,AL2021,010800,Estarreja,,CM,[A],coalition,PPD/PSD.CDS-PP,SEMPRE MAIS!
mapa_anexo.xlsx,68,AL2021,010800,Estarreja,,AM,[A],coalition,PPD/PSD.CDS-PP,SEMPRE MAIS!
mapa_anexo.xlsx,69,AL2021,010801,Estarreja,Avanca,AF,[A],coalition,PPD/PSD.CDS-PP,SEMPRE MAIS!
mapa_anexo.xlsx,70,AL2021,010805,Estarreja,Pardilhó,AF,[A],coalition,PPD/PSD.CDS-PP,SEMPRE MAIS!
mapa_anexo.xlsx,71,AL2021,010806,Estarreja,Salreu,AF,[A],coalition,PPD/PSD.CDS-PP,SEMPRE MAIS!
mapa_anexo.xlsx,72,AL2021,010808,Estarreja,União das freguesias de Beduído e Veiros,AF,[A],coalition,PPD/PSD.CDS-PP,SEMPRE MAIS!
mapa_anexo.xlsx,73,AL2021,010809,Estarreja,União das freguesias de Canelas e Fermelã,AF,[A],coalition,PPD/PSD.CDS-PP,SEMPRE MAIS!
mapa_anexo.xlsx,74,AL2021,010914,Feira,Milheirós de Poiares,AF,[D],citizen_group,MM,Mais Milheirós
mapa_anexo.xlsx,75,AL2021,010917,Feira,Nogueira da Regedoura,AF,[A],coalition,PPD/PSD.CDS-PP,NOGUEIRA COM VIDA
mapa_anexo.xlsx,76,AL2021,011000,Ílhavo,,CM,[D],citizen_group,UPF,Unir Para Fazer
mapa_anexo.xlsx,77,AL2021,011000,Ílhavo,,AM,[D],citizen_group,UPF,Unir Para Fazer
mapa_anexo.xlsx,78,AL2021,011005,Ílhavo,Gafanha da Encarnação,AF,[D],citizen_group,UPF,Unir Para Fazer
mapa_anexo.xlsx,79,AL2021,011006,Ílhavo,Gafanha da Nazaré,AF,[D],citizen_group,UPF,Unir Para Fazer
mapa_anexo.xlsx,80,AL2021,011007,Ílhavo,Gafanha do Carmo,AF,[D],citizen_group,UPF,Unir Para Fazer
mapa_anexo.xlsx,81,AL2021,011008,Ílhavo,Ílhavo (São Salvador),AF,[D],citizen_group,UPF,Unir Para Fazer
mapa_anexo.xlsx,82,AL2021,011100,Mealhada,,CM,[A],coalition,PPD/PSD.CDS-PP.IL.MPT.PPM.,JUNTOS PELO CONCELHO DA MEALHADA
mapa_anexo.xlsx,82,AL2021,011100,Mealhada,,CM,[D],citizen_group,MMMI,Mais e Melhor - Movimento Independente
mapa_anexo.xlsx,83,AL2021,011100,Mealhada,,AM,[A],coalition,PPD/PSD.CDS-PP.IL.MPT.PPM.,JUNTOS PELO CONCELHO DA MEALHADA
mapa_anexo.xlsx,83,AL2021,011100,Mealhada,,AM,[D],citizen_group,MMMI,Mais e Melhor - Movimento Independente
mapa_anexo.xlsx,84,AL2021,011102,Mealhada,Barcouço,AF,[A],coalition,PPD/PSD.CDS-PP.IL.MPT.PPM.,JUNTOS PELO CONCELHO DA MEALHADA
mapa_anexo.xlsx,84,AL2021,011102,Mealhada,Barcouço,AF,[D],citizen_group,MMMI,Mais e Melhor - Movimento Independente
mapa_anexo.xlsx,85,AL2021,011103,Mealhada,Casal Comba,AF,[A],coalition,PPD/PSD.CDS-PP.IL.MPT.PPM.,JUNTOS PELO CONCELHO DA MEALHADA
mapa_anexo.xlsx,85,AL2021,011103,Mealhada,Casal Comba,AF,[D],citizen_group,MMMI,Mais e Melhor - Movimento Independente
mapa_anexo.xlsx,86,AL2021,011104,Mealhada,Luso,AF,[A],coalition,PPD/PSD.CDS-PP.IL.MPT.PPM.,JUNTOS PELO CONCELHO DA MEALHADA
mapa_anexo.xlsx,86,AL2021,011104,Mealhada,Luso,AF,[D],citizen_group,MMMI,Mais e Melhor - Movimento Independente
mapa_anexo.xlsx,87,AL2021,011106,Mealhada,Pampilhosa,AF,[A],coalition,PPD/PSD.CDS-PP.IL.MPT.PPM.,JUNTOS PELO CONCELHO DA MEALHADA
mapa_anexo.xlsx,87,AL2021,011106,Mealhada,Pampilhosa,AF,[D],citizen_group,MMMI,Mais e Melhor - Movimento Independente
